Spin,Symbols,Reel1,Payout,Win
328,Bell-Cherry-Cherry,Bell,0,0
329,Cherry-Lemon-Cherry,Cherry,0,0
330,Cherry-Cherry-Cherry,Cherry,2,1
331,Bar-Lemon-Bell,Bar,0,0
332,Lemon-Cherry-Cherry,Lemon,0,0
333,Lemon-Bell-Cherry,Lemon,0,0
334,Cherry-Cherry-Lemon,Cherry,0,0
335,Cherry-Cherry-Cherry,Cherry,2,1
336,Bar-Cherry-Bar,Bar,0,0
337,Lemon-Cherry-Cherry,Lemon,0,0
338,Bell-Cherry-Seven,Bell,0,0
339,Lemon-Cherry-Cherry,Lemon,0,0
340,Bar-Lemon-Cherry,Bar,0,0
341,Cherry-Cherry-Lemon,Cherry,0,0
342,Cherry-Bell-Seven,Cherry,0,0
343,Bell-Cherry-Lemon,Bell,0,0
344,Cherry-Cherry-Cherry,Cherry,2,1
345,Cherry-Seven-Lemon,Cherry,0,0
346,Bell-Lemon-Cherry,Bell,0,0
347,Lemon-Bar-Cherry,Lemon,0,0
348,Cherry-Cherry-Lemon,Cherry,0,0
349,Lemon-Bell-Bar,Lemon,0,0
350,Lemon-Bell-Lemon,Lemon,0,0
351,Lemon-Cherry-Bell,Lemon,0,0
352,Cherry-Cherry-Cherry,Cherry,2,1
353,Cherry-Bell-Bell,Cherry,0,0
354,Cherry-Cherry-Cherry,Cherry,2,1
355,Cherry-Bar-Cherry,Cherry,0,0
356,Cherry-Cherry-Cherry,Cherry,2,1
357,Cherry-Lemon-Lemon,Cherry,0,0
358,Cherry-Cherry-Cherry,Cherry,2,1
359,Bar-Cherry-Cherry,Bar,0,0
360,Cherry-Cherry-Cherry,Cherry,2,1
361,Cherry-Cherry-Bar,Cherry,0,0
362,Bar-Cherry-Cherry,Bar,0,0
363,Cherry-Cherry-Seven,Cherry,0,0
364,Cherry-Lemon-Cherry,Cherry,0,0
365,Cherry-Cherry-Cherry,Cherry,2,1
366,Lemon-Cherry-Cherry,Lemon,0,0
367,Bell-Cherry-Bar,Bell,0,0
368,Cherry-Lemon-Bar,Cherry,0,0
369,Lemon-Bell-Bell,Lemon,0,0
370,Cherry-Cherry-Cherry,Cherry,2,1
371,Cherry-Lemon-Bar,Cherry,0,0
372,Cherry-Bell-Cherry,Cherry,0,0
373,Cherry-Bar-Cherry,Cherry,0,0
374,Cherry-Cherry-Lemon,Cherry,0,0
375,Cherry-Bar-Lemon,Cherry,0,0
376,Seven-Bar-Cherry,Seven,0,0
377,Cherry-Cherry-Cherry,Cherry,2,1
378,Lemon-Cherry-Seven,Lemon,0,0
379,Lemon-Cherry-Cherry,Lemon,0,0
380,Cherry-Lemon-Lemon,Cherry,0,0
381,Lemon-Cherry-Lemon,Lemon,0,0
382,Cherry-Cherry-Bell,Cherry,0,0
383,Lemon-Bell-Cherry,Lemon,0,0
384,Cherry-Cherry-Cherry,Cherry,2,1
385,Lemon-Bar-Cherry,Lemon,0,0
386,Lemon-Lemon-Cherry,Lemon,0,0
387,Cherry-Cherry-Cherry,Cherry,2,1
388,Lemon-Lemon-Cherry,Lemon,0,0
389,Cherry-Cherry-Cherry,Cherry,2,1
390,Lemon-Cherry-Cherry,Lemon,0,0
391,Cherry-Bell-Cherry,Cherry,0,0
392,Cherry-Cherry-Bell,Cherry,0,0
393,Cherry-Lemon-Bell,Cherry,0,0
394,Cherry-Cherry-Cherry,Cherry,2,1
395,Cherry-Lemon-Lemon,Cherry,0,0
396,Cherry-Lemon-Cherry,Cherry,0,0
397,Bell-Lemon-Cherry,Bell,0,0
398,Cherry-Cherry-Cherry,Cherry,2,1
399,Cherry-Cherry-Bell,Cherry,0,0
400,Bar-Cherry-Lemon,Bar,0,0
401,Cherry-Cherry-Cherry,Cherry,2,1
402,Cherry-Cherry-Cherry,Cherry,2,1
403,Cherry-Lemon-Lemon,Cherry,0,0
404,Bell-Cherry-Lemon,Bell,0,0
405,Cherry-Bar-Cherry,Cherry,0,0
406,Lemon-Lemon-Bell,Lemon,0,0
407,Cherry-Lemon-Cherry,Cherry,0,0
408,Lemon-Cherry-Cherry,Lemon,0,0
409,Lemon-Lemon-Lemon,Lemon,4,1
410,Cherry-Lemon-Cherry,Cherry,0,0
411,Lemon-Bell-Lemon,Lemon,0,0
412,Lemon-Cherry-Cherry,Lemon,0,0
413,Bell-Cherry-Lemon,Bell,0,0
414,Cherry-Seven-Lemon,Cherry,0,0
415,Bell-Cherry-Lemon,Bell,0,0
416,Bell-Bell-Seven,Bell,0,0
417,Cherry-Lemon-Lemon,Cherry,0,0
418,Cherry-Bar-Bell,Cherry,0,0
419,Cherry-Lemon-Lemon,Cherry,0,0
420,Bell-Cherry-Cherry,Bell,0,0
421,Cherry-Cherry-Cherry,Cherry,2,1
422,Cherry-Cherry-Bell,Cherry,0,0
423,Bar-Lemon-Cherry,Bar,0,0
424,Cherry-Lemon-Lemon,Cherry,0,0
425,Cherry-Lemon-Cherry,Cherry,0,0
426,Cherry-Bell-Cherry,Cherry,0,0
427,Cherry-Cherry-Seven,Cherry,0,0
428,Cherry-Lemon-Cherry,Cherry,0,0
429,Lemon-Cherry-Cherry,Lemon,0,0
430,Cherry-Lemon-Bell,Cherry,0,0
431,Cherry-Cherry-Cherry,Cherry,2,1
432,Lemon-Bell-Bell,Lemon,0,0
433,Lemon-Cherry-Cherry,Lemon,0,0
434,Bell-Lemon-Cherry,Bell,0,0
435,Lemon-Cherry-Seven,Lemon,0,0
436,Lemon-Lemon-Cherry,Lemon,0,0
437,Cherry-Cherry-Cherry,Cherry,2,1
438,Lemon-Cherry-Lemon,Lemon,0,0
439,Cherry-Cherry-Bell,Cherry,0,0
440,Cherry-Bell-Lemon,Cherry,0,0
441,Seven-Lemon-Bar,Seven,0,0
442,Bell-Cherry-Cherry,Bell,0,0
443,Cherry-Seven-Lemon,Cherry,0,0
444,Seven-Cherry-Bell,Seven,0,0
445,Lemon-Cherry-Bell,Lemon,0,0
446,Lemon-Lemon-Cherry,Lemon,0,0
447,Cherry-Bar-Bar,Cherry,0,0
448,Cherry-Bell-Lemon,Cherry,0,0
449,Cherry-Lemon-Lemon,Cherry,0,0
450,Lemon-Cherry-Bell,Lemon,0,0
451,Seven-Bell-Cherry,Seven,0,0
452,Lemon-Cherry-Cherry,Lemon,0,0
453,Cherry-Cherry-Cherry,Cherry,2,1
454,Cherry-Lemon-Cherry,Cherry,0,0
455,Cherry-Bell-Lemon,Cherry,0,0
456,Bar-Cherry-Lemon,Bar,0,0
457,Cherry-Cherry-Cherry,Cherry,2,1
458,Bar-Lemon-Cherry,Bar,0,0
459,Lemon-Cherry-Cherry,Lemon,0,0
460,Cherry-Bar-Lemon,Cherry,0,0
461,Lemon-Bell-Cherry,Lemon,0,0
462,Lemon-Cherry-Bell,Lemon,0,0
463,Seven-Cherry-Cherry,Seven,0,0
464,Bell-Cherry-Bar,Bell,0,0
465,Lemon-Cherry-Cherry,Lemon,0,0
466,Bell-Seven-Cherry,Bell,0,0
467,Cherry-Cherry-Lemon,Cherry,0,0
468,Lemon-Bell-Cherry,Lemon,0,0
469,Lemon-Lemon-Cherry,Lemon,0,0
470,Lemon-Lemon-Bell,Lemon,0,0
471,Bar-Lemon-Cherry,Bar,0,0
472,Cherry-Cherry-Cherry,Cherry,2,1
473,Bell-Cherry-Bar,Bell,0,0
474,Lemon-Bell-Bell,Lemon,0,0
475,Lemon-Bell-Lemon,Lemon,0,0
476,Cherry-Lemon-Cherry,Cherry,0,0
477,Cherry-Lemon-Cherry,Cherry,0,0
478,Bell-Cherry-Bar,Bell,0,0
479,Bell-Lemon-Lemon,Bell,0,0
480,Cherry-Seven-Cherry,Cherry,0,0
481,Cherry-Bell-Lemon,Cherry,0,0
482,Lemon-Lemon-Cherry,Lemon,0,0
483,Cherry-Cherry-Cherry,Cherry,2,1
484,Cherry-Cherry-Cherry,Cherry,2,1
485,Cherry-Bell-Lemon,Cherry,0,0
486,Lemon-Lemon-Lemon,Lemon,4,1
487,Lemon-Bell-Bell,Lemon,0,0
488,Lemon-Seven-Lemon,Lemon,0,0
489,Cherry-Lemon-Lemon,Cherry,0,0
490,Cherry-Cherry-Lemon,Cherry,0,0
491,Lemon-Bell-Cherry,Lemon,0,0
492,Bell-Cherry-Lemon,Bell,0,0
493,Cherry-Cherry-Bar,Cherry,0,0
494,Bar-Bell-Seven,Bar,0,0
495,Lemon-Cherry-Lemon,Lemon,0,0
496,Cherry-Cherry-Bell,Cherry,0,0
497,Cherry-Cherry-Lemon,Cherry,0,0
498,Bell-Bell-Lemon,Bell,0,0
499,Lemon-Cherry-Lemon,Lemon,0,0
500,Cherry-Cherry-Cherry,Cherry,2,1
501,Lemon-Cherry-Cherry,Lemon,0,0
502,Lemon-Cherry-Bar,Lemon,0,0
503,Cherry-Lemon-Cherry,Cherry,0,0
504,Bell-Seven-Cherry,Bell,0,0
505,Cherry-Bar-Bell,Cherry,0,0
506,Lemon-Cherry-Cherry,Lemon,0,0
507,Bell-Bell-Cherry,Bell,0,0
508,Bar-Bell-Lemon,Bar,0,0
509,Cherry-Seven-Cherry,Cherry,0,0
510,Lemon-Cherry-Lemon,Lemon,0,0
511,Lemon-Bar-Lemon,Lemon,0,0
512,Bell-Bar-Lemon,Bell,0,0
513,Bell-Cherry-Cherry,Bell,0,0
514,Lemon-Cherry-Cherry,Lemon,0,0
515,Cherry-Cherry-Cherry,Cherry,2,1
516,Cherry-Cherry-Seven,Cherry,0,0
517,Cherry-Cherry-Lemon,Cherry,0,0
518,Bell-Cherry-Lemon,Bell,0,0
519,Cherry-Cherry-Cherry,Cherry,2,1
520,Cherry-Cherry-Cherry,Cherry,2,1
521,Lemon-Lemon-Cherry,Lemon,0,0
522,Cherry-Cherry-Cherry,Cherry,2,1
523,Cherry-Cherry-Lemon,Cherry,0,0
524,Cherry-Bell-Cherry,Cherry,0,0
525,Lemon-Seven-Cherry,Lemon,0,0
526,Cherry-Seven-Lemon,Cherry,0,0
527,Lemon-Lemon-Bell,Lemon,0,0
528,Cherry-Lemon-Lemon,Cherry,0,0
529,Lemon-Cherry-Cherry,Lemon,0,0
530,Cherry-Cherry-Cherry,Cherry,2,1
531,Cherry-Cherry-Seven,Cherry,0,0
532,Cherry-Bell-Seven,Cherry,0,0
533,Bell-Cherry-Cherry,Bell,0,0
534,Cherry-Lemon-Cherry,Cherry,0,0
535,Cherry-Lemon-Bell,Cherry,0,0
536,Bar-Cherry-Lemon,Bar,0,0
537,Seven-Cherry-Bell,Seven,0,0
538,Cherry-Cherry-Lemon,Cherry,0,0
539,Cherry-Lemon-Cherry,Cherry,0,0
540,Bell-Bar-Bell,Bell,0,0
541,Bell-Cherry-Cherry,Bell,0,0
542,Lemon-Cherry-Cherry,Lemon,0,0
543,Cherry-Cherry-Cherry,Cherry,2,1
544,Lemon-Cherry-Bell,Lemon,0,0
545,Lemon-Cherry-Cherry,Lemon,0,0
546,Cherry-Bar-Lemon,Cherry,0,0
547,Cherry-Lemon-Bell,Cherry,0,0
548,Cherry-Cherry-Cherry,Cherry,2,1
549,Cherry-Lemon-Cherry,Cherry,0,0
550,Lemon-Cherry-Cherry,Lemon,0,0
551,Cherry-Lemon-Cherry,Cherry,0,0
552,Cherry-Lemon-Cherry,Cherry,0,0
553,Cherry-Bell-Lemon,Cherry,0,0
554,Lemon-Cherry-Lemon,Lemon,0,0
555,Bell-Lemon-Lemon,Bell,0,0
556,Cherry-Cherry-Lemon,Cherry,0,0
